year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,origin,dest,air_time,distance,hour,minute,tailnum
2013,11,1,2108.0,2056,12.0,2335.0,2316,19.0,EV,4397,EWR,MSY,179.0,1167,20,56,N10156
2013,11,1,1154.0,1200,-6.0,1403.0,1359,4.0,US,2069,JFK,CLT,102.0,541,12,0,N102UW
2013,11,1,854.0,829,25.0,1128.0,1017,71.0,EV,4537,EWR,MEM,162.0,946,8,29,N10575
2013,11,1,1643.0,1505,98.0,1842.0,1703,99.0,EV,4572,EWR,GSP,104.0,594,15,5,N10575
2013,11,1,603.0,600,3.0,717.0,711,6.0,EV,4533,EWR,BUF,53.0,282,6,0,N11109
2013,11,1,934.0,929,5.0,1153.0,1132,21.0,EV,4380,EWR,MSP,155.0,1008,9,29,N11109
2013,11,1,2011.0,2018,-7.0,2145.0,2202,-17.0,EV,5956,LGA,CLE,68.0,419,20,18,N11109
2013,11,1,858.0,840,18.0,1141.0,1055,46.0,EV,4419,EWR,XNA,175.0,1131,8,40,N11119
2013,11,1,1324.0,1329,-5.0,1530.0,1529,1.0,EV,4687,EWR,CVG,104.0,569,13,29,N11164
2013,11,1,757.0,805,-8.0,905.0,918,-13.0,EV,4866,EWR,BTV,43.0,266,8,5,N11194
2013,11,1,1210.0,1207,3.0,1308.0,1320,-12.0,EV,5675,EWR,BTV,39.0,266,12,7,N11194
2013,11,1,2008.0,2019,-11.0,2239.0,2240,-1.0,EV,4333,EWR,TUL,181.0,1215,20,19,N11194
2013,11,1,,1655,,,1831,,EV,4695,EWR,RDU,,416,16,55,N11194
2013,11,1,620.0,622,-2.0,837.0,827,10.0,EV,4150,EWR,CVG,113.0,569,6,22,N11535
2013,11,1,1903.0,1907,-4.0,2028.0,2033,-5.0,EV,4191,EWR,BNA,121.0,748,19,7,N11535
2013,11,1,1507.0,1510,-3.0,1708.0,1706,2.0,EV,4326,EWR,CLT,101.0,529,15,10,N11565
2013,11,1,2008.0,2016,-8.0,2123.0,2128,-5.0,EV,4312,EWR,DCA,43.0,199,20,16,N11565
